Generation,Run 0,Run 1,Run 2
0,356.33153418488365,332.8049946493078,324.2735505888696
1,417.6923295536791,432.9294124669447,444.93839898743363
2,457.4779527656606,457.0896436267678,495.1693612730978
3,465.40811203180294,461.8508829181983,529.9359629336236
4,467.762849506501,467.00764196180245,537.2797406048181
5,474.8651151228525,468.6832301982869,532.4968010396527
