Generation,Mean,Std
0,13.289904629194274,0.03773006555793023
1,13.171947921632333,0.06412059523999593
2,12.950594495182992,0.06849587135586525
3,12.703325773742524,0.1235772786507022
4,12.421669580333603,0.18885775272352787
5,12.242079010863144,0.22850134559794522
6,12.035148144333165,0.25226773511125816
7,11.834989699469855,0.2553317251492509
8,11.695121385927129,0.23356733795306645
9,11.576722981966238,0.251146080598302
10,11.40249665434997,0.34453305713941573
11,11.27904677029784,0.5131507492274526
12,11.180204748761037,0.6277612642986162
13,11.124944569713271,0.6988938934850519
14,10.985993675364462,0.7800145249226949
15,10.805761385703955,0.8819607101857061
16,10.6579762570064,0.9810719816604987
17,10.57301204721786,1.0800336533638992
18,10.513645029903639,1.1271099903250377
19,10.363207802138385,1.1595109898113138
20,10.086505707796771,1.5960842653108722
21,9.736431860754532,1.8489702641597514
22,9.332002335442557,2.1153461880236217
23,9.007292882064466,2.4310327820098565
24,8.553669520767894,2.782280449262821
25,7.961394774943438,2.8727906102462684
26,7.540852475355955,2.766931125962711
27,7.230210629385309,2.6993566822124615
28,6.82006933793772,2.8125008650871384
29,6.625096819075227,2.8796563234171444
30,6.525161492326123,2.9504589346539083
31,6.50608996715957,2.9486158059778353
32,6.27977974272639,2.919017760629346
33,6.142390002415794,2.810730974208763
34,5.943590071935696,2.839944847369637
35,5.651362197466815,2.8104235952853545
36,5.4341133039268135,2.7668444276391635
37,5.302772091825618,2.7622004244779013
38,5.257697098355422,2.7585281945615407
39,5.201552477177886,2.800993115065136
40,5.110646215769575,2.7745889673640822
41,5.011830304278538,2.7421392539633693
42,4.9484133861631,2.720415452609171
43,4.846544020006506,2.633561608057887
44,4.697972266968284,2.6733190899341075
45,4.608143755493453,2.695529987945316
46,4.68850219038627,2.7812458279888648
47,4.6492009935551994,2.7027369884225485
48,4.58074584486151,2.6771489509505426
49,4.355451588144807,2.4696258798655952
50,4.256600292501167,2.496057338159593
