Generation,Max,Mean,Std
0,43.480358365564406,19.822877634035116,9.265512486616304
1,48.60967094459554,28.704460570852696,12.403876625685768
2,48.60967094459554,35.55058550481436,9.928683747311439
3,48.60967094459554,38.43174023514557,8.413858145640553
4,56.03494209785218,41.86083413956474,7.460727183426893
5,56.03494209785218,44.120617112251196,6.651432783304307
6,56.03494209785218,45.342603043595304,5.648001634792339
7,56.03494209785218,47.865444338248686,4.350432715458058
8,63.81005459230793,52.53038105016176,7.340816383927091
9,63.81005459230793,53.131762484476646,6.993696100888116
10,63.81005459230793,53.131762484476646,6.993696100888116
11,63.81005459230793,53.156195043485376,6.977244575605268
12,70.26813853615062,56.21775254642309,9.228897630527376
13,70.26813853615062,58.158259092911216,9.886581746273498
14,72.19240235242678,60.60723890997415,9.725652746932326
15,78.51642551848539,63.74054984962099,10.287869005375788
16,84.79229174347354,65.72739430519655,11.119296664516948
17,85.0543697607428,65.7536021069235,11.169420666665415
18,87.68503209022448,67.70107886945299,12.570820281400138
19,87.75363668907481,68.05728464467379,12.291617241630934
20,87.8148889081822,69.91511107045898,12.383861654849111
21,88.06649852365302,71.57672067706332,12.985570311246327
22,88.60839666912871,72.27394779983426,13.141717322058474
23,88.71360252634202,72.87803718522497,13.018884579545773
24,88.88064133034632,73.83575567428568,13.63119196911435
25,88.90088459395412,73.83778000064646,13.633675767797858
26,88.93226063352947,75.19139986421291,12.903564278461854
27,88.93226063352947,75.22096610717686,12.872807237417753
28,88.93226063352947,75.26930373373777,12.883618261267447
29,89.24808062810848,75.30088573319567,12.921164436298154
30,89.24808062810848,75.8631240312686,12.912474477457495
31,89.24808062810848,75.86916768760142,12.905946964918433
32,89.24808062810848,76.54932003591367,12.339541797121813
33,89.24808062810848,76.54932003591367,12.339541797121813
34,89.24808062810848,76.55804606498934,12.347513485247706
35,89.24808062810848,76.55804606498934,12.347513485247706
36,89.24808062810848,76.55804606498934,12.347513485247706
37,89.24808062810848,76.55804606498934,12.347513485247706
38,89.24808062810848,76.56170342048704,12.338429028500457
39,89.24808062810848,76.56170342048704,12.338429028500457
40,89.24808062810848,76.56170342048704,12.338429028500457
41,89.24808062810848,76.56170342048704,12.338429028500457
42,89.24808062810848,76.56170443975195,12.338428439933264
43,89.24808062810848,76.56170443975195,12.338428439933264
44,89.24808062810848,76.56170443975195,12.338428439933264
45,89.24808062810848,76.56170443975195,12.338428439933264
46,89.24808062810848,77.56310849260439,12.87018329136993
47,89.24808062810848,78.26007421938525,12.617475495949076
48,89.24808062810848,78.26646972964556,12.612923002948778
49,89.24808062810848,79.01033689804011,12.763963846523259
