Generation,Mean,Std
0,612.9801030062648,80.95626857327653
1,687.9843853033178,79.25269766781271
2,739.8954028947137,68.69619594878351
3,761.0515007855406,31.437897858816278
4,773.8777545102087,37.27790559057898
5,773.8777545102087,37.27790559057898
6,791.1564274428645,33.48423263283572
7,798.7007046975357,25.868178557424436
8,800.2796140345135,25.250473485049977
9,804.0717793867323,29.657818837565262
10,808.0664385968646,24.947135558347675
11,819.6856545703959,37.22082667566961
12,823.8583017484083,36.97662311145203
13,833.6383241065272,46.0718888314868
14,835.3767518859347,45.13828480165893
15,836.6367815774918,47.093960492552526
16,841.3129246179902,47.782622233516335
17,846.0835438866341,43.219914226035456
18,846.9742936515095,43.276683332808005
19,847.2788967040727,43.18624575217103
20,848.7160932592433,42.99671805954474
21,862.6031517493908,53.53335303225599
22,863.0202658093955,54.04293289526487
23,877.950452037139,55.4575712940124
24,892.7710942770524,60.31736785849232
25,892.8949269689741,60.46580504942857
26,893.819348951012,61.267386233921634
27,896.1555747749128,64.05464837268308
28,896.923593520741,63.43313466565982
29,901.5863859833911,71.09897405607366
30,906.0397339205144,77.43619137728571
31,906.7275684090393,77.02274791664782
32,906.7275684090393,77.02274791664782
33,906.8676747267003,76.9502338719715
34,910.8559559894081,80.67904912984073
35,910.8559559894081,80.67904912984073
36,918.3059083215697,92.96979221753604
37,918.3059083215697,92.96979221753604
38,918.3059083215697,92.96979221753604
39,918.3467523641577,92.9134276874717
40,919.0968073739859,93.00313881649272
41,920.5085431657335,94.32725905010892
42,920.5085431657335,94.32725905010892
43,920.5363453032975,94.30296200378419
44,920.6170034858014,94.2019915220412
45,921.72601720959,96.4190959205709
46,922.2642481016907,96.00347878227791
47,923.8939824270749,94.71191748646187
48,923.8939824270749,94.71191748646187
49,925.8988496070211,95.14402452108688
