Generation,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
0,493.0110385831101,490.01858578874555,500.9911868145574,408.4263198330394,411.9522447210179,414.3122447210179,432.695551197578,410.2442577864131,475.0572006248733,586.7994908259573
1,660.6596406962723,503.98384284030163,498.9961129328935,528.7636304097963,411.9522447210179,464.0122447210179,432.695551197578,410.2442577864131,493.0110385831101,586.7994908259573
2,660.6596406962723,503.98384284030163,493.0110385831101,587.7974644828121,411.9522447210179,506.976552407039,425.74424995824666,410.2442577864131,525.931574411756,587.7974644828121
3,660.6596406962723,505.5322447210179,504.98140678550374,587.7974644828121,519.7734633307125,506.976552407039,409.82413272989425,418.9132252730877,520.9432159867714,588.7954422374313
4,660.6596406962723,505.5322447210179,506.976552407039,590.7914099739033,519.7734633307125,585.8015212835077,409.82413272989425,588.7954422374313,520.9432159867714,588.7954422374313
