Generation,Mean,Std
0,274.86174983836133,3.9970691849743063
1,375.3356893798079,12.840972216382285
2,450.5553414879175,20.95192119236899
3,487.9419705758067,13.646282786443052
4,513.1933186300282,14.708723304171466
5,542.8159852022842,23.282685736329004
6,553.5894359511509,25.73611865861182
7,577.2216643156381,32.45412698418085
8,606.3852930097466,48.769467804396214
9,630.2824214011978,58.005780711736556
10,650.9376275494683,62.96688543470334
11,659.6717319441466,62.966825351444044
12,682.782623212127,65.17111147093881
13,698.5029320603076,70.61704951593882
14,713.8212596096787,74.12809620615366
15,726.7285874795579,62.75637973724523
16,754.4817944317244,75.80014640999362
17,764.501024877643,77.71458697336776
18,787.3561765904784,85.21307410287426
19,815.9250043562155,85.60548931252141
20,833.6944725846606,94.26045036616003
21,849.7634139616164,97.8644082238651
22,863.3331448559136,94.99532656223154
23,882.2228401305231,100.61240058082711
24,899.7929410415103,95.94654920885178
25,915.5178477404273,85.99398677182126
26,933.4178837260179,85.86047999974501
27,940.2438533834908,74.17057804152725
28,950.5214344853212,68.18755132821431
29,965.3768417534551,70.23152879439678
30,973.4443786880711,68.05876935788474
31,968.5011171952377,65.23422813682018
32,982.7940574131053,55.75664889116479
33,976.9073345003615,61.23573380617816
34,995.1051640951871,61.26916604652375
35,1004.4779243744279,59.6014857392912
36,1014.1974408813412,64.27792014890146
37,1013.3264854063593,54.34944880867908
38,1012.5506408675852,54.4315082994629
39,1009.2834090640124,57.934777416778
40,1013.4292794434266,51.89758754833642
41,1003.2935185812628,52.191496201524096
42,1016.041152118875,51.85037627335671
43,1013.803796883858,60.29214020146721
44,1012.7665661727835,51.48700385105773
45,1019.1346323827993,51.09081076876012
46,1014.8371618343947,59.20203135099622
47,1014.1631081604686,53.474500210960294
48,1019.8733227271747,52.91328308556453
49,1021.5227563251776,46.06716696821326
