Generation,Max,Mean,Std
0,13.339732956209218,13.28887550096539,0.040160993719119624
1,13.279183442167247,13.204447489089313,0.04172638361062595
2,13.149715082101674,13.025703525384628,0.08936549622185616
3,12.950021777760456,12.782212647780346,0.1343235762405365
4,12.865494325537359,12.57325893039808,0.18761154800901328
5,12.77612073772654,12.358030907496262,0.2988267295904104
6,12.669741832904675,12.072027495997045,0.5629889072646435
7,12.553129678560824,11.45326316493487,1.4047866806347749
8,12.397616169710343,10.698512779013777,2.31475444956725
9,12.04818351737745,9.80938527675186,2.474565081985102
10,11.891041245948324,8.08550950207186,3.805856634086988
11,11.797054824497076,6.839466753608034,4.4457226071973635
12,11.571019615431275,5.660941004193244,4.022158391941323
13,11.157182563840735,4.367618278056673,3.868105434922291
14,11.050936033579738,3.6705576741166945,3.5774033955695588
15,10.793964479449091,3.4883354499992016,3.726040958791219
16,10.415175198363873,3.354319520556158,3.8562802829854452
17,10.124872091813405,3.2791262591217665,3.6181866554896036
18,9.56761159819312,3.193142326534912,3.155830317085077
19,9.232286455034679,3.1426693019476355,3.1332890737141152
20,9.16870932938409,2.4904240472480166,2.881471426132139
21,7.492571765776448,1.669903185122737,2.287885086645316
22,3.497903021859642,1.1063122937376044,1.3777235058024788
23,4.783333880857455,0.8097123243213437,1.4417954920017833
24,5.46513773081798,0.837693536815598,1.6542125773054124
25,1.6763516273913461,0.39388178144147196,0.4955096330243505
26,0.7223655892939499,0.23460353400345163,0.21711033852568273
27,0.7743513442055756,0.219748247452274,0.2435028386758506
28,0.6865742518373382,0.2455039729769808,0.21332510192925855
29,0.5398229384433804,0.22578247857420908,0.20787687193435647
30,0.7014506198045837,0.19481175679691784,0.22199102541821444
31,1.0006592946706203,0.1885657197556551,0.3036033602105516
32,1.09967607060565,0.24275329281019895,0.35462121163944227
33,1.138690718583488,0.2513152553407359,0.36925526257529534
34,1.05635801117532,0.2763349626246554,0.38771916091456515
35,0.9131187151994576,0.2599472412017729,0.3566362918648226
36,0.33840627055336114,0.10843528797108425,0.11265019641574629
37,0.13327964941225082,0.05453954488304178,0.03987151018368668
38,0.20214844959804307,0.05508700087052175,0.05596925593497888
39,0.12645399138061247,0.06465846992369018,0.037222026005766115
40,0.189843718545855,0.06728260611766874,0.051911445376006275
41,0.12146458375018544,0.0601109106411243,0.04158028527540938
42,0.20870300925696486,0.0815847316247181,0.06160983913339896
43,0.2570331267746675,0.08441024158328456,0.07216409656713746
44,0.21861541897140574,0.08793110592673403,0.07848392153225235
45,0.3182225935589364,0.11102117398873698,0.08799866156066834
46,0.4603585759798633,0.10995364623641928,0.14139374979030636
47,0.7593826219392722,0.1498242931835623,0.2220524654510414
48,0.8863204526907219,0.1554416020370208,0.2641603026728685
49,0.2972300818020348,0.12783371099088844,0.10468674534734974
